week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,
11/16/2019,11/9/2019,04000US48,Texas,14335,112751,12168097,0.93,11/1/2019
11/9/2019,11/2/2019,04000US48,Texas,16393,111391,12168097,0.92,11/1/2019
11/2/2019,10/26/2019,04000US48,Texas,13861,114549,12168097,0.94,11/1/2019
10/26/2019,10/19/2019,04000US48,Texas,13183,111596,12168097,0.92,10/1/2019
10/19/2019,10/12/2019,04000US48,Texas,13058,113394,12168097,0.93,10/1/2019
10/12/2019,10/5/2019,04000US48,Texas,14342,107905,12168097,0.89,10/1/2019
10/5/2019,9/28/2019,04000US48,Texas,14146,113493,12099046,0.94,10/1/2019
9/28/2019,9/21/2019,04000US48,Texas,12691,111924,12099046,0.93,9/1/2019
9/21/2019,9/14/2019,04000US48,Texas,12440,115497,12099046,0.95,9/1/2019
9/14/2019,9/7/2019,04000US48,Texas,12273,115892,12099046,0.96,9/1/2019
9/7/2019,8/31/2019,04000US48,Texas,11500,116035,12099046,0.96,9/1/2019
8/31/2019,8/24/2019,04000US48,Texas,13048,118901,12099046,0.98,8/1/2019
8/24/2019,8/17/2019,04000US48,Texas,12619,123914,12099046,1.02,8/1/2019
8/17/2019,8/10/2019,04000US48,Texas,11694,123607,12099046,1.02,8/1/2019
8/10/2019,8/3/2019,04000US48,Texas,12816,124234,12099046,1.03,8/1/2019
8/3/2019,7/27/2019,04000US48,Texas,12915,127475,12099046,1.05,8/1/2019
7/27/2019,7/20/2019,04000US48,Texas,12265,129557,12099046,1.07,7/1/2019
7/20/2019,7/13/2019,04000US48,Texas,12958,128199,12099046,1.06,7/1/2019
7/13/2019,7/6/2019,04000US48,Texas,16144,128079,12099046,1.06,7/1/2019
7/6/2019,6/29/2019,04000US48,Texas,11598,123852,12017875,1.03,7/1/2019
6/29/2019,6/22/2019,04000US48,Texas,13655,124259,12017875,1.03,6/1/2019
6/22/2019,6/15/2019,04000US48,Texas,14494,127130,12017875,1.06,6/1/2019
6/15/2019,6/8/2019,04000US48,Texas,15081,120357,12017875,1,6/1/2019
6/8/2019,6/1/2019,04000US48,Texas,15186,117425,12017875,0.98,6/1/2019
6/1/2019,5/25/2019,04000US48,Texas,12773,113823,12017875,0.95,6/1/2019
5/25/2019,5/18/2019,04000US48,Texas,14355,113260,12017875,0.94,5/1/2019
5/18/2019,5/11/2019,04000US48,Texas,13807,110505,12017875,0.92,5/1/2019
5/11/2019,5/4/2019,04000US48,Texas,12959,108102,12017875,0.9,5/1/2019
5/4/2019,4/27/2019,04000US48,Texas,12748,109585,12017875,0.91,5/1/2019
4/27/2019,4/20/2019,04000US48,Texas,12084,111704,12017875,0.93,4/1/2019
4/20/2019,4/13/2019,04000US48,Texas,11439,107033,12017875,0.89,4/1/2019
4/13/2019,4/6/2019,04000US48,Texas,13868,107707,12017875,0.9,4/1/2019
4/6/2019,3/30/2019,04000US48,Texas,13093,111714,11941735,0.94,4/1/2019
3/30/2019,3/23/2019,04000US48,Texas,12327,113639,11941735,0.95,3/1/2019
3/23/2019,3/16/2019,04000US48,Texas,14382,117994,11941735,0.99,3/1/2019
3/16/2019,3/9/2019,04000US48,Texas,11580,113456,11941735,0.95,3/1/2019
3/9/2019,3/2/2019,04000US48,Texas,12760,112808,11941735,0.94,3/1/2019
3/2/2019,2/23/2019,04000US48,Texas,12099,116340,11941735,0.97,3/1/2019
2/23/2019,2/16/2019,04000US48,Texas,11766,117832,11941735,0.99,2/1/2019
2/16/2019,2/9/2019,04000US48,Texas,12388,117176,11941735,0.98,2/1/2019
2/9/2019,2/2/2019,04000US48,Texas,13526,115008,11941735,0.96,2/1/2019
2/2/2019,1/26/2019,04000US48,Texas,14161,121027,11941735,1.01,2/1/2019
1/26/2019,1/19/2019,04000US48,Texas,12479,123476,11941735,1.03,1/1/2019
1/19/2019,1/12/2019,04000US48,Texas,17453,128985,11941735,1.08,1/1/2019
1/12/2019,1/5/2019,04000US48,Texas,20493,129887,11941735,1.09,1/1/2019
1/5/2019,12/29/2018,04000US48,Texas,12905,123402,11882030,1.04,1/1/2019
12/29/2018,12/22/2018,04000US48,Texas,9090,112980,11882030,0.95,12/1/2018
12/22/2018,12/15/2018,04000US48,Texas,13894,113231,11882030,0.95,12/1/2018
12/15/2018,12/8/2018,04000US48,Texas,13461,114652,11882030,0.96,12/1/2018
12/8/2018,12/1/2018,04000US48,Texas,14041,110762,11882030,0.93,12/1/2018
12/1/2018,11/24/2018,04000US48,Texas,17035,119851,11882030,1.01,12/1/2018
11/24/2018,11/17/2018,04000US48,Texas,9653,103598,11882030,0.87,11/1/2018
11/17/2018,11/10/2018,04000US48,Texas,15133,102757,11882030,0.86,11/1/2018
11/10/2018,11/3/2018,04000US48,Texas,14597,101478,11882030,0.85,11/1/2018
11/3/2018,10/27/2018,04000US48,Texas,12808,100698,11882030,0.85,11/1/2018
10/27/2018,10/20/2018,04000US48,Texas,12201,103365,11882030,0.87,10/1/2018
10/20/2018,10/13/2018,04000US48,Texas,12422,100658,11882030,0.85,10/1/2018
10/13/2018,10/6/2018,04000US48,Texas,11802,101178,11882030,0.85,10/1/2018
10/6/2018,9/29/2018,04000US48,Texas,11980,102275,11814674,0.87,10/1/2018
9/29/2018,9/22/2018,04000US48,Texas,10447,109704,11814674,0.93,9/1/2018
9/22/2018,9/15/2018,04000US48,Texas,10994,107078,11814674,0.91,9/1/2018
9/15/2018,9/8/2018,04000US48,Texas,11857,113501,11814674,0.96,9/1/2018
9/8/2018,9/1/2018,04000US48,Texas,10838,108307,11814674,0.92,9/1/2018
9/1/2018,8/25/2018,04000US48,Texas,11301,117867,11814674,1,9/1/2018
8/25/2018,8/18/2018,04000US48,Texas,11956,118707,11814674,1,8/1/2018
8/18/2018,8/11/2018,04000US48,Texas,11760,123315,11814674,1.04,8/1/2018
8/11/2018,8/4/2018,04000US48,Texas,11658,121012,11814674,1.02,8/1/2018
8/4/2018,7/28/2018,04000US48,Texas,12275,126064,11814674,1.07,8/1/2018
7/28/2018,7/21/2018,04000US48,Texas,11737,128021,11814674,1.08,7/1/2018
7/21/2018,7/14/2018,04000US48,Texas,12549,128927,11814674,1.09,7/1/2018
7/14/2018,7/7/2018,04000US48,Texas,13703,128248,11814674,1.09,7/1/2018
7/7/2018,6/30/2018,04000US48,Texas,13353,121374,11758426,1.03,7/1/2018
6/30/2018,6/23/2018,04000US48,Texas,13599,127099,11758426,1.08,6/1/2018
6/23/2018,6/16/2018,04000US48,Texas,13474,123164,11758426,1.05,6/1/2018
6/16/2018,6/9/2018,04000US48,Texas,14167,124031,11758426,1.05,6/1/2018
6/9/2018,6/2/2018,04000US48,Texas,14504,114916,11758426,0.98,6/1/2018
6/2/2018,5/26/2018,04000US48,Texas,12227,119288,11758426,1.01,6/1/2018
5/26/2018,5/19/2018,04000US48,Texas,12836,114482,11758426,0.97,5/1/2018
5/19/2018,5/12/2018,04000US48,Texas,13953,119249,11758426,1.01,5/1/2018
5/12/2018,5/5/2018,04000US48,Texas,13755,111246,11758426,0.95,5/1/2018
5/5/2018,4/28/2018,04000US48,Texas,13780,119587,11758426,1.02,5/1/2018
4/28/2018,4/21/2018,04000US48,Texas,12086,116000,11758426,0.99,4/1/2018
